變徵	变徵
於戲	於戏
於敖	於敖
於梨華	於梨华
於清言	於清言
於潛	於潜
於世成	於世成
於乎	於乎
於仲完	於仲完
於琳	於琳
於穆	於穆
於竹屋	於竹屋
於邑	於邑
於陵子	於陵子
鍊墜	链坠
鍊子	链子
鍊形	链形
鍊錘	链锤
鍊鎖	链锁
鍾重發	锺重发
鍾鍛	锺锻
鍾馗	锺馗
乾坤	乾坤
乾元	乾元
乾卦	乾卦
乾嘉	乾嘉
乾圖	乾图
乾宅	乾宅
乾隆	乾隆
乾造	乾造
乾道	乾道
乾陵	乾陵
乾斷	乾断
乾旦	乾旦
乾曜	乾曜
乾清宮	乾清宫
乾盛世	乾盛世
乾紅	乾红
乾綱	乾纲
乾縣	乾县
乾乾淨淨	干干净净
乾乾脆脆	干干脆脆
反覆性	反复性
瞭解到	了解到
覆醢	复醢
覆醬瓿	复酱瓿
覆鹿尋蕉	复鹿寻蕉
覆鹿遺蕉	复鹿遗蕉
覆呈	复呈
覆命	复命
覆盆	覆盆
覆盂	复盂
覆盤	覆盘
乾坤一擲	乾坤一掷
乾隆年間	乾隆年间
乾隆皇帝	乾隆皇帝
反覆思維	反复思维
反覆思量	反复思量
覆盆子	覆盆子
乾坤再造	乾坤再造
乾坤大挪移	乾坤大挪移
暱稱	昵称
東方	东方 東方
吉弔	吉弔
束脩	束脩
花映塚	花映塚
徵羽	徵羽
乾崑	乾崑
乾崑智駕	乾崑智驾
批覆	批复
昇騰	升腾 昇腾
乾夏寧	乾夏宁
乾紗壽叶	乾纱寿叶
乾沙希	乾沙希
乾信司	乾信司
蘋科	𬞟科
甚夥	甚夥
不穀	不穀
穀旦	穀旦
穀梁	穀梁
姓穀	姓穀
