⺁	px
㒣	ry
㒤	rn
㒥	rf
㒦	rl
㒧	rl
㒨	rs
㒩	rl
㒪	ru
㒫	iw
㒬	yw
㒭	xx
㒮	yu
㒯	gh
㒰	rg
㒱	rx
㒲	ro
㒳	kr
㒴	ri
㒵	bb
㒶	bb
㒷	kb ba
㒸	bu
㒹	vv
㒺	ka
㒻	oj
㒼	cr
㒽	oj
㒾	ou
㒿	ol
㓀	bb
㓁	bb
㓂	bn
㓃	bt
㓄	cy cg
㓅	dd
㓆	dl
㓇	dy
㓈	du
㓉	du
㓊	dt
㓋	dg
㓌	dq
㓍	di
㓎	dy
㓏	dj
㓐	dt dl
㓑	dx
㓒	dx
㓓	dn
㓔	du
㓕	dm dh
㓖	db
㓗	dj
㓘	jy
㓙	kw
㓚	dg
㓛	gd
㓜	dy
㓝	dj
㓞	df
㓟	dp
㓠	dv
㓡	df
㓢	dg
㓣	dh
㓤	dj
㓥	dd
㓦	db
㓧	dh
㓨	dj
㓩	dj
㓪	dd ld
㓫	dk
㓬	dq
㓭	dh
㓮	dv vd
㓯	dz
㓰	dh
㓱	dy
㓲	db
㓳	du
㓴	dd dr
㓵	de
㓶	dq
㓷	dn dm
㓸	da
㓹	dy
㓺	dq dw
㓻	dg dv
㓼	dq du
㓽	di
㓾	dx
㓿	du
㔀	dj
㔁	dd
㔂	dl
㔃	dj
㔄	ds
㔅	ds
㔆	do dq
㔇	df
㔈	df
㔉	du
㔊	dd
㔋	dj
㔌	dj
㔍	ds
㔎	dx
㔏	dl
㔐	dj
㔑	dx
㔒	dj dg
㔓	lq
㔕	lq
㔗	lf
㔘	li
㔙	lb
㔚	lu
㔜	lf
㔝	ll
㔞	lg
㔟	lw
㔠	lh
㔡	lb
㔢	lj
㔣	ll lt
㔤	lu
㔥	lb
㔦	ly
㔧	ll
㔨	gb
㔩	gh gm
㔪	gl
㔫	ub
㔬	bz
㔭	bu
㔮	hn cn
㔯	kk
㔰	kw
㔱	ky
㔲	kj
㔳	kj
㔴	ky
㔵	kx kg
㔶	kg
㔷	kb
㔸	kh ks
㔹	ul
㔺	ug
㔻	bu
㔼	ut
㔽	bh
㔾	gg
㔿	aj
㕀	ey
㕁	eh es ie
㕂	ij
㕃	ik
㕄	iy
㕅	ij
㕆	ig
㕇	il
㕈	iy
㕉	ih
㕊	if
㕋	ij
㕌	ic id
㕍	iv
㕎	ih im
㕏	id
㕐	ix ih
㕑	iu ic
㕒	iy
㕓	im
㕔	it
㕕	ss
㕖	ml ms lm sm
㕗	sj sy
㕘	sx
㕙	tj tw
㕚	id
㕛	yy
㕜	yv
㕝	gy
㕞	yj
㕟	by yc
㕠	yv
㕡	yj yr
㕢	by yb
㕣	kb bk
㕤	kj
㕥	kr
㕦	kd
㕧	ku
㕨	kf
㕩	kf
㕪	kg ky
㕫	kf
㕬	kg
㕭	ky
㕮	kf
㕯	kk kn
㕰	km
㕱	ky
㕲	km
㕳	kx
㕴	kr
㕵	kw
㕶	kw
㕷	kb
㕸	kl
㕹	kb ky
㕺	kk
㕻	df
㕼	kx
㕽	ky
㕿	hk
㖀	ky
㖁	kh ks
㖂	ky
㖃	kh
㖄	kv
㖅	kx
㖆	kq
㖇	ke
㖈	kl lk
㖉	kq
㖊	kx
㖏	kn kt
㖐	ky
㖑	kj
㖒	kd
㖓	kf
㖔	kt
㖕	kx
㖖	kx
㖗	kc
㖘	ki
㖞	kg kn
㖟	ku
㖠	kn
㖡	ky
㖢	kc
㖣	kp kk
㖤	kh
㖥	kh kq
㖦	kd
㖧	kh
㖨	kl
㖩	kq
㖪	kh
㖫	kl kw
㖬	ky
㖭	kt
㖮	kl
㖴	kw
㖵	kj
㖶	kt ky
㖷	ku
㖸	kn
㖹	kp
㖺	ki
㖻	kr
㖼	km
㖽	ky
㖾	kn
㖿	ky
㗀	ky
㗁	ke
㗂	ku
㗃	ko kh
㗄	kf
㗅	kh
㗆	kg
㗇	kj
㗈	ky
㗉	gd fg
㗊	ll
㗋	kh ku
㗌	ku
㗍	kx
㗎	kj
㗏	kw
㗐	km
㗑	kb
㗒	ka
㗓	kv
㗔	kq
㗕	kg kr
㗖	ky kj
㗗	lb
㗘	kf kc
㗙	ki kc
㗚	kl
㗛	kx
㗜	ki
㗝	kg
㗞	kp
㗢	kd
㗣	kd
㗤	kq
㗥	kg
㗦	kl
㗧	kv
㗨	ku
㗩	kx
㗪	kz
㗫	kj
㗬	ud
㗭	kx
㗮	mg
㗰	kc
㗱	kj
㗲	kh
㗳	kd
㗴	kx
㗵	ki
㗶	kf
㗷	kb
㗸	ki
㗹	kx
㗺	kf
㗻	kg
㗼	ky
㗽	kx
㗾	kx
㗿	kk
㘀	km
㘁	kx
㘂	kc
㘃	kr
㘄	kl
㘅	kx
㘆	kt
㘇	kr
㘈	ky
㘉	kj
㘊	ky
㘋	kx
㘌	kj
㘍	kg
㘎	kk kg
㘐	kj
㘑	kl
㘓	kl
㘔	ks
㘕	kl
㘖	ky
㘗	kq
㘘	ks yk
㘙	ky
㘚	kk kg
㘛	kk kl
㘜	ki kv yk
㘝	ky
㘞	kl
㘟	kc
㘠	kb
㘡	kj
㘢	kg
㘣	ko
㘤	ky
㘥	ky
㘦	tl
㘧	ty
㘨	tn
㘩	tb
㘪	tm
㘫	tj
㘬	tg
㘭	th
㘮	ti
㘯	tl
㘰	td
㘱	tr
㘲	tk
㘳	tb
㘴	tr
㘵	tb
㘶	ti
㘷	ta
㘸	ts
㘹	tc
㘺	tf
㘻	ty
㘽	tg gt
㘾	ty
㘿	tn tt
㙀	tj
㙁	tm
㙂	td
㙃	tb
㙄	tb
㙅	td
㙆	th
㙇	ti td
㙈	th
㙉	td
㙊	ti
㙋	tq
㙌	ts
㙍	tv
㙎	tw
㙏	tf
㙐	td
㙑	ty
㙒	tt ty
㙓	ty
㙔	tw
㙕	tw
㙖	ty
㙗	tw
㙘	ty
㙙	tm
㙚	tn
㙛	tf tc
㙜	tg
㙝	tx
㙞	tn tm
㙟	tl
㙠	tu yt
㙡	tc
㙢	tm
㙣	tv
㙤	th
㙥	tg
㙦	tx
㙧	tt tl
㙨	tj
㙩	tl tx
㙪	ty
㙫	tj
㙬	tq
㙭	tj
㙮	td
㙯	yw uy ty
㙰	tj
㙱	th
㙲	ty tv
㙳	tg
㙴	tv ty
㙵	tt
㙶	wt
㙷	tx ts
㙸	tp
㙹	tm
㙺	tk
㙻	ti tt
㙼	tl tt
㙽	tb
㙾	tx
㙿	tx tg
㚀	tx
㚁	yy
㚂	tn
㚃	uq
㚄	up
㚅	wu
㚆	wo ww
㚇	wb xw
㚈	xu
㚉	nd
㚊	dh
㚋	dv
㚌	dg
㚍	dg
㚎	dk
㚏	dc
㚐	dd
㚑	dx xd
㚒	dr
㚓	dm
㚔	da
㚕	df
㚖	db
㚗	dq
㚘	ff
㚙	dj
㚚	dm
㚛	dv
㚜	dh
㚝	dj
㚞	dl
㚟	db
㚠	dg
㚡	qq
㚢	nr
㚣	nn
㚤	ny
㚥	ny
㚦	nq
㚧	ng
㚨	nx nu
㚩	nr ne
㚪	nm
㚫	nj
㚬	ny
㚭	ny
㚮	nr
㚯	nf
㚰	np
㚱	nq
㚲	nv
㚳	nj
㚴	nb
㚵	nd
㚶	nv
㚷	ne
㚸	ns
㚹	nm
㚺	ny
㚻	nt
㚼	nt
㚽	nq
㚾	nx
㚿	nb
㛀	ni
㛁	np
㛂	nb
㛃	nd
㛄	ny
㛅	ne
㛆	nd
㛇	nv
㛈	nk
㛉	nx
㛊	nd
㛋	nx
㛌	nm
㛍	nj
㛎	nl
㛏	nq
㛐	ng
㛑	ny
㛒	nd
㛓	nx
㛔	nf
㛕	ny
㛖	nj nw
㛗	nz
㛘	nb
㛙	nx
㛚	ny
㛛	nu
㛜	ny
㛝	nb
㛞	nn
㛟	nh
㛠	nj
㛡	nw
㛢	nx
㛣	ny
㛤	nl
㛥	nt
㛦	nl
㛧	ny
㛨	nq
㛩	ny
㛪	ny
㛫	ny
㛬	nl nt
㛭	nx
㛮	ny ns
㛯	nm
㛰	no
㛱	nw
㛲	ny
㛳	nd
㛴	ni nx
㛵	nr
㛶	nt
㛷	ny hn
㛸	nq
㛹	nb
㛺	ny
㛻	nk
㛼	nj
㛽	nm
㛾	nx
㛿	nd
㜀	nx
㜁	ni
㜂	nf
㜃	nx
㜄	nf
㜅	ni
㜆	nm
㜇	nh
㜈	nw
㜉	ny
㜊	nv
㜋	ny
㜌	un nu
㜍	nt
㜎	nx
㜏	ny
㜐	nq
㜑	np
㜒	ny
㜓	nh
㜔	nj
㜕	nl
㜖	nc
㜗	nc
㜘	nq
㜙	nl
㜚	ns
㜛	nr
㜜	na
㜝	ny
㜞	nv
㜟	ng
㜠	nc
㜡	nc
㜢	nl
㜣	nr
㜤	nt
㜥	nm
㜦	nx
㜧	nj
㜨	nx
㜩	na
㜪	nx
㜫	nw
㜬	nv
㜭	nd
㜮	nj
㜯	nx
㜰	nl
㜱	nv
㜲	ny
㜳	nb
㜴	nm
㜵	nm
㜶	nt
㜷	nm
㜸	nx
㜹	nq
㜺	nz
㜻	nl
㜼	nd
㜾	zj
㜿	zy
㝀	zm
㝁	zx
㝂	zv
㝃	zm
㝄	xt
㝅	uz zu
㝆	zx
㝇	xx
㝈	zs yz
㝉	ba
㝊	by
㝋	bl
㝌	bj
㝍	by
㝎	bv
㝏	bj
㝐	bg
㝑	bf
㝒	bg
㝓	bh
㝔	bj
㝕	by
㝖	bd
㝗	bl
㝘	by
㝙	bb
㝚	by
㝛	bk
㝜	bx
㝝	bl
㝞	by
㝟	bj
㝠	bl
㝡	bq
㝢	by
㝣	bq
㝤	bg
㝥	bm
㝦	bj
㝧	az
㝨	by
㝩	bk
㝪	bv
㝫	bl
㝬	fh hf
㝭	bx
㝮	by
㝯	bq
㝰	bf
㝱	bm
㝲	bv bj
㝴	cy
㝵	cd
㝶	ce sc
㝷	xc
㝸	xe xm
㝹	um ut
㝺	ju
㝻	ju
㝼	yy
㝽	yu
㝾	yz
㝿	yp
㞀	yh
㞁	yb
㞂	yt
㞃	gy
㞄	yd yy
㞅	yg
㞆	yq
㞇	yw
㞈	yb
㞉	yi
㞊	ys yu
㞋	uy
㞌	uz
㞍	uw
㞎	ub
㞏	uf
㞐	ul
㞑	ud
㞒	uz
㞓	uv
㞔	ud
㞕	uo
㞖	ub
㞗	uq
㞘	ud
㞙	wu
㞚	uj
㞛	uv
㞜	uw
㞝	uq
㞞	uc
㞟	ud
㞠	ul
㞡	uy
㞢	ca
㞣	cf
㞤	ur
㞥	ur
㞦	uj
㞧	un
㞨	uz
㞩	uf
㞪	xu ux
㞫	uv
㞬	ug
㞭	ud
㞮	ud
㞯	uj
㞰	uw
㞱	uo
㞲	uv
㞳	ud
㞴	uu
㞵	uw
㞶	uw
㞷	uw cw
㞸	ub
㞹	uk
㞺	uu
㞻	uh
㞼	ud lu
㞽	uy
㞾	un
㞿	ui
㟀	uh
㟁	ug
㟂	um
㟃	us
㟄	uy
㟅	ux
㟆	uh
㟇	uz
㟈	uq
㟉	ul
㟊	uf
㟋	ud
㟌	um
㟍	ul
㟎	ut
㟏	uh
㟐	um
㟑	ub
㟒	uj
㟓	ux
㟔	uh
㟕	ud
㟖	un
㟗	kf
㟘	uv
㟙	ux
㟚	uv
㟛	ug
㟜	um
㟝	uk
㟞	uj
㟟	ux
㟠	ug
㟡	uj
㟢	uq
㟣	us
㟤	ul
㟥	uc
㟦	uj
㟧	uk
㟨	ud
㟩	uw mu
㟪	uw
㟫	uq
㟬	us
㟭	uo
㟮	ut
㟯	uk
㟰	um
㟱	ug
㟲	uy
㟳	ul
㟴	ug
㟵	ug
㟶	uy
㟷	uh
㟸	ug
㟹	ul
㟺	ul
㟻	uv
㟼	ua
㟽	up
㟾	uy
㟿	um
㠀	un
㠁	uc
㠂	ua
㠃	ug
㠄	ux
㠅	uf
㠆	ud
㠇	uj
㠈	ur
㠉	ut
㠊	ux
㠋	uk
㠌	uq
㠍	uj
㠎	uj
㠏	uh
㠐	uq
㠑	uz
㠒	up
㠓	um
㠔	ub
㠕	uk
㠖	uy
㠗	ua
㠘	uy
㠙	uh
㠚	ud
㠛	uh
㠜	uy
㠝	ub
㠞	uv
㠟	ul
㠠	ul
㠡	um
㠢	wy
㠣	ul
㠤	ux
㠥	ul
㠦	uf
㠧	um uf
㠨	uc
㠩	ia
㠪	aa
㠫	fg
㠬	fk
㠭	gg
㠮	gp
㠯	aa
㠱	jq
㠲	jb
㠳	jr
㠴	jr
㠵	jw
㠶	jj
㠷	jj
㠸	jf
㠹	jj
㠺	ju
㠻	jl
㠼	jj
㠽	jd
㠾	xj
㠿	jc
㡀	dd xb
㡁	jk
㡂	jl
㡃	je
㡄	jx
㡅	jd
㡆	ji
㡇	jv jg
㡈	jm
㡉	jx
㡊	jx jj
㡋	jy
㡌	jo
㡍	bj
㡎	jc
㡏	jy
㡐	jq
㡑	jq
㡒	jd
㡓	jj
㡔	jw
㡕	jy
㡖	jv
㡗	js
㡘	jj
㡙	jb
㡚	jr
㡛	jh
㡜	jj
㡝	jf
㡞	jl
㡟	jc
㡠	jd
㡡	ji
㡢	jf
㡣	ds
㡤	jy
㡥	jx
㡦	jb
㡧	jd
㡨	jg
㡩	js sj
㡪	jw
㡫	yh
㡬	yg
㡭	ya
㡮	jq
㡯	gq
㡰	gy
㡱	gj
㡲	gg
㡳	gu
㡴	gl
㡵	gl
㡶	gv
㡷	gb
㡸	gv
㡹	gq
㡺	gd
㡻	gm
㡼	gy
㡽	gy
㡾	gg
㡿	gn
㢀	gb
㢁	gd
㢃	gl
㢄	gd
㢅	gn
㢆	gl
㢇	gy
㢈	gv
㢉	gq
㢊	gq
㢋	gi
㢌	ga
㢍	gy
㢎	gj
㢏	gy
㢐	gk
㢑	gs
㢒	gq
㢓	gv
㢔	gc
㢕	gv
㢖	gf
㢗	gq
㢘	gh
㢙	gq
㢚	gl
㢛	gq
㢜	gs gx
㢝	gs
㢞	gy
㢟	zv
㢠	zk
㢡	cj
㢢	ci
㢣	cj
㢤	gw
㢥	ty
㢦	gy
㢧	ga
㢨	gg
㢩	gu
㢪	gk
㢫	gu
㢬	gs
㢭	gp
㢮	gy
㢯	gm
㢰	gp
㢲	gb
㢳	gp
㢴	gd
㢵	gh
㢶	gb
㢷	gs
㢸	gw
㢹	gx
㢺	gq
㢻	gw
㢼	ge
㢽	gm
㢾	gt
㢿	gh
㣀	gv
㣁	gy
㣂	gg
㣃	gy
㣄	gq
㣅	go
㣆	gw
㣇	jp jj
㣈	jj
㣉	pg
㣊	wp
㣋	pd
㣌	pv
㣍	pt
㣎	bp
㣏	pz dp
㣐	pq
㣑	py
㣒	pc
㣓	pc
㣔	xd
㣕	xd
㣖	xt
㣗	xh
㣘	xj
㣙	xy
㣚	xt
㣛	xh
㣜	xx
㣝	xr
㣞	xe
㣟	xj
㣠	xd
㣡	xv
㣢	xd
㣣	xr
㣤	xj
㣥	xu
㣦	xw
㣧	xg
㣨	xg
㣩	xl
㣪	xy
㣫	xv
㣬	xe
㣭	xw
㣮	xn
㣯	xx
㣰	xx
㣱	xz
㣲	xw
㣳	xw
㣴	xh
㣵	xd
㣶	xd
㣷	xn
㣸	xu
㣹	xy
㣺	xd
㣻	xi
㣼	xr
㣽	xn
㣾	xi
㣿	xu
㤀	xa
㤁	xt
㤂	xj
㤃	xf
㤄	xf xj
㤅	xw
㤆	xf
㤇	xy
㤈	xx
㤉	xy
㤊	xi xy
㤋	xf
㤌	xg
㤍	xq
㤎	xj
㤏	xd
㤐	xv
㤑	xy
㤒	xu
㤓	xb
㤔	xf
㤕	xi
㤖	xn
㤗	xf
㤘	xi
㤙	xk
㤚	xx
㤛	xr
㤜	xu
㤝	xi
㤞	xv
㤟	xq
㤠	xl
㤡	xl
㤢	xy
㤣	xb
㤤	xy
㤥	xh
㤦	xl
㤧	xh
㤨	xg
㤩	xg
㤪	ay
㤫	xy
㤬	xg
㤭	xq
㤮	xk
㤯	xj
㤰	xz
㤱	xd
㤲	xj
㤳	xf
㤴	xg
㤵	xz
㤶	xm
㤷	xh
㤸	xi
㤹	xq
㤺	xi
㤻	xl
㤼	xj
㤽	xu
㤾	xm
㤿	xy
㥀	xv
㥁	xs ux
㥂	xc
㥃	xm
㥄	xl
㥅	xu
㥆	xl
㥇	xj
㥈	xt
㥉	xk
㥊	xp
㥋	xy
㥌	xm
㥍	xq
㥎	xp hx
㥏	xd
㥐	xm
㥑	xb
㥒	xc
㥓	xq
㥔	xy
㥕	xy
㥖	xg dx
㥗	xw
㥘	xr
㥙	xv
㥚	xy
㥛	xj
㥜	xw
㥝	xm
㥞	xu
㥟	xt
㥠	xx
㥡	xm
㥢	xq
㥣	xg dh
㥤	xj
㥥	xy
㥦	xj kx
㥧	xy
㥨	xw
㥩	xv
㥪	xl
㥫	xo
㥬	xp
㥭	xt
㥮	xi
㥯	vx xx
㥰	xs
㥱	xf
㥲	xv
㥳	xy
㥴	xs
㥵	xh xu
㥶	xb bx
㥷	xj gx
㥸	ms
㥹	xf
㥺	xh
㥻	xg
㥼	xy
㥽	xz
㥾	xn
㥿	xa
㦀	xf
㦁	xl
㦂	xi
㦃	xi
㦄	xm
㦅	xd
㦆	xh
㦇	xl
㦈	xg
㦉	xy
㦊	xh
㦋	xu
㦌	xc
㦍	xn
㦎	xh
㦏	xx xg
㦐	xe
㦑	xg
㦒	xl
㦓	xr
㦔	xq kx
㦕	xl
㦖	xm
㦗	xj
㦘	xj
㦚	xx
㦛	xy
㦜	xh
㦝	xm
㦞	xu
㦟	xl
㦠	xd
㦡	xl
㦢	xj
㦣	xw
㦤	yx xq
㦥	xx
㦦	xe
㦧	xo
㦨	xl
㦩	xy
㦪	xx
㦫	xz
㦬	xl
㦭	xl
㦯	ga
㦰	gc
㦱	gt
㦲	gw
㦳	tg gt
㦴	gg
㦵	gv
㦶	gv
㦷	gy
㦸	gv
㦹	gy yg
㦺	gr rg
㦻	gx
㦼	gi
㦾	hy
㦿	hm
㧀	hj
㧁	hq
㧂	ht
㧃	fj
㧄	fk
㧅	fd
㧆	fj
㧇	fa
㧈	fg
㧉	fq
㧊	ff fj
㧋	fq
㧌	fm
㧍	ff
㧎	fy
㧏	fg
㧐	fu
㧑	fw
㧒	fx
㧓	fg
㧔	fw
㧕	fm
㧖	fy
㧗	fc
㧘	uc
㧙	fb
㧚	fw
㧛	uv
㧜	fz
㧝	uj
㧞	fy
㧟	fh
㧠	fx
㧡	fh
㧢	fy
㧣	fv
㧤	fi
㧥	fx
㧦	fx
㧧	fi
㧨	fh
㧩	fj
㧪	fw
㧫	fe
㧬	ug
㧭	uq
㧮	fj
㧯	fl
㧰	fl
㧱	uh
㧲	fs
㧳	ub
㧴	fw
㧵	ff
㧶	fu
㧷	ft
㧸	fh
㧹	fc
㧺	fd
㧻	fd
㧼	fb
㧽	fg
㧾	fh
㧿	fv
㨀	fb
㨁	fv
㨂	fd
㨃	fx
㨄	fv
㨅	fr
㨆	fl
㨇	ub
㨈	fe
㨉	fo
㨊	fo
㨋	fv
㨌	uu
㨍	uf
㨎	fd
㨏	ft
㨐	fb
㨑	fw
㨒	fk
㨓	fn
㨔	fx
㨕	fy
㨖	fv
㨗	fb
㨘	fu
㨙	fx
㨚	fx
㨛	fu
㨜	fq
㨝	fx
㨞	fs
㨟	fq
㨠	fm
㨡	fu
㨢	fn
㨣	fw
㨤	fv
㨥	fn
㨦	fy
㨧	fb
㨨	fl
㨩	ft
㨪	fh
㨫	fj
㨬	fy
㨭	fh
㨮	fd
㨯	fg
㨰	fg
㨱	fy
㨲	fs
㨳	fj
㨴	fq
㨵	fj
㨶	fn
㨷	fj
㨸	fm
㨹	fh
㨺	fr
㨻	uv
㨼	ul
㨽	ff
㨾	fy
㨿	fi
㩀	fc
㩁	fh
㩂	fd
㩃	fh
㩄	fz
㩅	ft
㩆	fj
㩇	fh
㩈	fj
㩉	fx
㩊	fc
㩋	fs
㩌	ff
㩍	fc
㩎	fq
㩏	fh
㩐	fd
㩑	ff
㩒	fj
㩓	hu
㩔	fd
㩕	fl
㩖	fa
㩗	fj
㩘	fy
㩙	fs
㩚	fm
㩛	ft
㩜	fj
㩝	fh
㩞	fr
㩟	fv
㩠	fh
㩡	fl
㩢	fm
㩣	fj
㩤	ff
㩥	fg fx
㩦	fj
㩧	fb
㩨	fh
㩩	fy
㩪	fx fy
㩫	fv
㩬	fx
㩭	fx
㩮	uy fu
㩯	ff
㩰	fm
㩱	fj
㩲	fv
㩳	fu
㩴	fq
㩵	fx
㩶	fe
㩷	fq
㩸	fj
㩹	fd
㩺	bv
㩻	vw
㩼	vd
㩽	vu
㩾	vi
㩿	qw
㪀	yw
㪁	pj jp
㪂	pq qp
㪃	pk kp
㪄	fw
㪅	pb bp
㪆	pd dp
㪇	xw
㪈	pg gp
㪉	hw
㪊	pj jp
㪋	ph hp
㪌	py yp
㪍	bw
㪎	pj jp
㪏	pb bp
㪐	pl lp
㪑	py yp
㪒	pe ep
㪓	pg gp
㪔	pl lp
㪕	pv vp
㪖	pl lp
㪗	pk lp
㪘	rw
㪙	gw
㪚	xw
㪛	pu up
㪜	pd dp
㪝	pj jp
㪞	pm mp
㪟	wo
㪠	pj jp
㪡	ph hp
㪢	ps sp
㪣	gw
㪤	bw
㪥	pq hp
㪦	yw
㪧	px xp
㪨	pu up
㪩	ps sp
㪪	pf tp
㪫	pr rp
㪬	pd dp
㪭	pl lp
㪮	pk yp
㪯	wf
㪰	wm
㪱	wh
㪴	dy
㪵	db
㪶	db
㪷	dd
㪸	dq
㪹	dl
㪺	do dd
㪻	ds sd
㪼	jk
㪽	ax
㪾	jg
㪿	cj jc
㫀	ji
㫁	jw
㫂	ju
㫃	fr
㫄	ff
㫅	fq
㫆	fx
㫉	fw
㫊	fk
㫋	fr
㫌	fv
㫍	fy
㫎	fj
㫏	fy
㫐	ob
㫑	ol
㫒	oc
㫓	oq
㫔	ou
㫕	ow
㫖	ou
㫗	oz
㫘	ob
㫙	of
㫚	wo
㫛	ox
㫜	od
㫝	od
㫞	oy
㫟	ok
㫠	ob
㫡	od
㫢	oq
㫣	od
㫤	oy
㫥	om
㫦	ro
㫧	om
㫨	oa
㫩	oh
㫪	fj
㫫	oy
㫬	ox
㫭	os
㫮	oc
㫯	ow
㫰	ol
㫱	oi
㫲	ob
㫳	oi
㫴	ox
㫵	of
㫶	ov
㫷	oq
㫸	oa
㫹	os
㫺	or
㫻	ol
㫼	ov
㫽	ol
㫾	ou
㫿	ov
㬁	oq
㬂	oy
㬃	ot
㬄	oi
㬅	of
㬆	oo
㬇	oh
㬈	om
㬉	od
㬊	oy
㬋	oh
㬌	ox
㬍	of
㬎	oh
㬏	og
㬐	oj
㬑	og
㬒	om
㬓	op
㬔	ol
㬕	ox
㬖	oq
㬗	or
㬘	os
㬙	ow
㬚	ow
㬛	ox
㬜	ov
㬝	oc
㬞	oh
㬟	wc
㬠	ou
㬡	ol
㬢	oy
㬣	od
㬤	ox
㬥	om
㬦	oh
㬧	os
㬨	oh
㬩	oh
㬪	oa
㬫	oy
㬬	oq
㬭	oj
㬮	on
㬯	ol
㬰	or
㬱	ox xo
㬲	gy
㬳	ow
㬴	og
㬵	oj
㬶	og
㬷	ok
㬸	oh
㬹	ov
㬺	jf oj
㬻	oh
㬼	yf
㬽	ok
㬾	ou
㬿	od
㭀	ow
㭁	mn
㭂	mx
㭃	my
㭄	mu
㭅	ms
㭇	my
㭈	mg
㭉	mc
㭊	mp
㭋	mf
㭌	mn
㭍	mq
㭎	mg
㭏	mw
㭑	mw
㭒	mg
㭓	mb
㭔	mh
㭕	mq
㭖	md
㭗	mm
㭘	mh
㭙	ms
㭚	mp
㭛	mp
㭜	mr
㭝	lj
㭞	ml
㭟	mg
㭠	mx
㭡	mx
㭢	mx
㭣	mw
㭤	mn
㭥	mf
㭦	mv
㭧	mv
㭨	mx
㭩	mc
㭪	mf
㭫	mz
㭬	mu
㭭	mb
㭮	md
㭯	mg
㭰	cb
㭱	mx
㭲	mg
㭳	mx
㭴	mj
㭶	mf
㭸	mt
㭹	mx
㭺	my
㭻	mu
㭼	md
㭽	md
㭾	mq
㭿	ma
㮀	mh
㮁	my
㮂	jm mj
㮃	mw
㮄	mf
㮅	mv
㮆	my
㮇	mt
㮈	mn
㮉	mx
㮊	mm
㮋	my
㮌	mm
㮍	mq
㮎	mm
㮏	mn
㮐	mu
㮑	mj
㮒	mt
㮓	mh
㮔	mv
㮕	md
㮖	mg
㮗	mj
㮘	mw
㮙	mk
㮚	mr bm
㮛	mu
㮜	mv
㮝	mx
㮞	mz
㮟	mv
㮠	mr
㮡	mj
㮢	mh
㮣	mj
㮤	mr
㮥	mb
㮦	ms
㮧	mw
㮨	mw
㮩	mx
㮪	mm
㮫	mh
㮬	mw
㮭	mg
㮮	mq
㮯	mu
㮰	mb
㮱	mx
㮲	mi
㮳	mv
㮴	ms
㮵	mv
㮶	mu
㮷	mv
㮸	ms
㮹	mv
㮺	bk
㮻	mz
㮼	mu
㮽	mb
㮾	ml
㮿	mb
㯀	mx
㯁	mp
㯂	md
㯃	mu
㯄	mb lb
㯅	mb
㯆	mu
㯇	mt
㯈	ms
㯉	mh
㯊	my
㯋	ym my
㯌	mv
㯍	mj
㯎	mm
㯏	mu um
㯐	ms
㯒	mm
㯓	mx
㯔	mc
㯕	ms
㯖	mx
㯗	mm
㯘	mk
㯙	mw
㯚	md
㯛	mh
㯜	mc
㯝	ml
㯞	mj
㯟	ll
㯠	mq
㯡	mb
㯢	mx
㯣	mf
㯤	ll
㯥	dd
㯦	mm
㯧	mi
㯨	ms
